============================================================
Dr. Jekyll and Mr. Hyde RNG / Spawn Investigation v3
FCEUX Lua 5.1 compatible
============================================================
Started frame: 9969

DF/E0/E1 writes are logged directly.
E0 selector is NOT treated as sticky.
C726 caller is reconstructed from the 6502 stack.
C2DA indirect target is captured at C300.
AEEA construction events receive spawn serial numbers.
Spawn delta means frames between AEEA events.
============================================================
EV=000105 F=9974 I=247662052 C=297011329 PC=E01F A=F0 X=0C Y=50 DF=C3 E0=42 E1=D3 | E01F SPATIAL TEST | X=0C Y=50 0720=B0 0723=12
EV=000106 F=9974 I=247662062 C=297011356 PC=E01F A=F0 X=0C Y=54 DF=C3 E0=42 E1=D3 | E01F SPATIAL TEST | X=0C Y=54 0720=B0 0723=12
EV=000107 F=9974 I=247662072 C=297011383 PC=E01F A=F0 X=0C Y=58 DF=C3 E0=42 E1=D3 | E01F SPATIAL TEST | X=0C Y=58 0720=B0 0723=12
EV=000108 F=9974 I=247662082 C=297011410 PC=E01F A=F0 X=0C Y=5C DF=C3 E0=42 E1=D3 | E01F SPATIAL TEST | X=0C Y=5C 0720=B0 0723=12
EV=000109 F=9974 I=247662092 C=297011437 PC=E01F A=F0 X=0C Y=60 DF=C3 E0=42 E1=D3 | E01F SPATIAL TEST | X=0C Y=60 0720=B0 0723=12
EV=000110 F=9974 I=247662102 C=297011464 PC=E01F A=F0 X=0C Y=64 DF=C3 E0=42 E1=D3 | E01F SPATIAL TEST | X=0C Y=64 0720=B0 0723=12
EV=000111 F=9974 I=247662112 C=297011491 PC=E01F A=F0 X=0C Y=68 DF=C3 E0=42 E1=D3 | E01F SPATIAL TEST | X=0C Y=68 0720=B0 0723=12
EV=000112 F=9974 I=247662122 C=297011518 PC=E01F A=F0 X=0C Y=6C DF=C3 E0=42 E1=D3 | E01F SPATIAL TEST | X=0C Y=6C 0720=B0 0723=12
EV=000113 F=9974 I=247662132 C=297011545 PC=E01F A=F0 X=0C Y=70 DF=C3 E0=42 E1=D3 | E01F SPATIAL TEST | X=0C Y=70 0720=B0 0723=12
EV=000114 F=9974 I=247662142 C=297011572 PC=E01F A=F0 X=0C Y=74 DF=C3 E0=42 E1=D3 | E01F SPATIAL TEST | X=0C Y=74 0720=B0 0723=12
EV=000115 F=9974 I=247662152 C=297011599 PC=E01F A=F0 X=0C Y=78 DF=C3 E0=42 E1=D3 | E01F SPATIAL TEST | X=0C Y=78 0720=B0 0723=12
EV=000116 F=9974 I=247662162 C=297011626 PC=E01F A=F0 X=0C Y=7C DF=C3 E0=42 E1=D3 | E01F SPATIAL TEST | X=0C Y=7C 0720=B0 0723=12
EV=000117 F=9974 I=247662172 C=297011653 PC=E01F A=F0 X=0C Y=80 DF=C3 E0=42 E1=D3 | E01F SPATIAL TEST | X=0C Y=80 0720=B0 0723=12
EV=000118 F=9974 I=247662182 C=297011680 PC=E01F A=F0 X=0C Y=84 DF=C3 E0=42 E1=D3 | E01F SPATIAL TEST | X=0C Y=84 0720=B0 0723=12
EV=000119 F=9974 I=247662192 C=297011707 PC=E01F A=F0 X=0C Y=88 DF=C3 E0=42 E1=D3 | E01F SPATIAL TEST | X=0C Y=88 0720=B0 0723=12
EV=000120 F=9974 I=247662202 C=297011734 PC=E01F A=F0 X=0C Y=8C DF=C3 E0=42 E1=D3 | E01F SPATIAL TEST | X=0C Y=8C 0720=B0 0723=12
EV=000121 F=9974 I=247662212 C=297011761 PC=E01F A=F0 X=0C Y=90 DF=C3 E0=42 E1=D3 | E01F SPATIAL TEST | X=0C Y=90 0720=B0 0723=12
EV=000122 F=9974 I=247662222 C=297011788 PC=E01F A=F0 X=0C Y=94 DF=C3 E0=42 E1=D3 | E01F SPATIAL TEST | X=0C Y=94 0720=B0 0723=12
EV=000123 F=9974 I=247662232 C=297011815 PC=E01F A=F0 X=0C Y=98 DF=C3 E0=42 E1=D3 | E01F SPATIAL TEST | X=0C Y=98 0720=B0 0723=12
