============================================================
Dr. Jekyll and Mr. Hyde RNG / Spawn Investigation v4
FCEUX Lua 5.1 compatible
============================================================
B14F is the primary construction marker.
AEEA is NOT used as a spawn counter.
DF/E0/E1 writes are logged directly.
B14F caller is reconstructed from the 6502 stack.
C726 caller is reconstructed from the 6502 stack.
E660/C2DA state is kept separate from C726.
C300 records the actual indirect C2DA target.
B19D records final 8-record state.
============================================================
EV=000001 F=11275 I=258505607 C=335753620 PC=C535 A=00 X=80 Y=00 DF=D1 E0=34 E1=B7 | C535 RNG ROUTINE | DF=D1 E0=34 E1=B7
EV=000121 F=11275 I=258511660 C=335774284 PC=E01F A=F0 X=10 Y=74 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=10 Y=74 0720=B0 0723=80
EV=000122 F=11275 I=258511670 C=335774311 PC=E01F A=F0 X=10 Y=78 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=10 Y=78 0720=B0 0723=80
EV=000123 F=11275 I=258511680 C=335774338 PC=E01F A=F0 X=10 Y=7C DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=10 Y=7C 0720=B0 0723=80
EV=000124 F=11275 I=258511690 C=335774365 PC=E01F A=F0 X=10 Y=80 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=10 Y=80 0720=B0 0723=80
EV=000125 F=11275 I=258511700 C=335774392 PC=E01F A=F0 X=10 Y=84 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=10 Y=84 0720=B0 0723=80
EV=000126 F=11275 I=258511710 C=335774419 PC=E01F A=F0 X=10 Y=88 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=10 Y=88 0720=B0 0723=80
EV=000127 F=11275 I=258511720 C=335774446 PC=E01F A=F0 X=10 Y=8C DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=10 Y=8C 0720=B0 0723=80
EV=000128 F=11275 I=258511730 C=335774473 PC=E01F A=F0 X=10 Y=90 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=10 Y=90 0720=B0 0723=80
EV=000129 F=11275 I=258511740 C=335774500 PC=E01F A=F0 X=10 Y=94 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=10 Y=94 0720=B0 0723=80
EV=000130 F=11275 I=258511750 C=335774527 PC=E01F A=F0 X=10 Y=98 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=10 Y=98 0720=B0 0723=80
EV=000131 F=11275 I=258511760 C=335774554 PC=E01F A=F0 X=10 Y=9C DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=10 Y=9C 0720=B0 0723=80
