type,frame,pc,input,DF,E0,E1,DF_bit0,DF_low2,DF_low3,E0_shift4_low3,rng_calls,rng_gap,max_rng_gap,0428,042D,048B,queue_slot,queue_addr,queue_value,c726_total,b14f_total,b14f_snapshot
RNG,1292,C535,-,68,F3,DD,0,0,0,7,1,1,1,00,00,00,C535,,,67,0,
FRAME,1292,C74C,-,6B,80,DE,1,3,3,0,1,1,1,00,00,00,,,,,67,0,
RNG,1293,C535,-,6B,80,DE,1,3,3,0,1,1,1,00,00,00,C535,,,67,0,
C726,1293,C726,-,34,73,DF,0,0,4,7,1,1,1,00,00,00,C726,,,68,0,
C726,1293,C726,-,34,73,DF,0,0,4,7,1,1,1,00,00,00,C726,,,69,0,
C726,1293,C726,-,34,73,DF,0,0,4,7,1,1,1,00,00,00,C726,,,70,0,
C726,1293,C726,-,34,73,DF,0,0,4,7,1,1,1,00,00,00,C726,,,71,0,
C726,1293,C726,-,34,73,DF,0,0,4,7,1,1,1,00,00,00,C726,,,72,0,
C726,1293,C726,-,34,73,DF,0,0,4,7,1,1,1,00,00,00,C726,,,73,0,
C726,1293,C726,-,34,73,DF,0,0,4,7,1,1,1,00,00,00,C726,,,74,0,
OBJECT,1293,C74C,-,34,73,DF,0,0,4,7,1,1,1,00,00,00,24,$0218,26,74,0,
OBJECT,1293,C74C,-,34,73,DF,0,0,4,7,1,1,1,00,00,00,25,$0219,5E,74,0,
OBJECT,1293,C74C,-,34,73,DF,0,0,4,7,1,1,1,00,00,00,26,$021A,01,74,0,
OBJECT,1293,C74C,-,34,73,DF,0,0,4,7,1,1,1,00,00,00,27,$021B,4B,74,0,
OBJECT,1293,C74C,-,34,73,DF,0,0,4,7,1,1,1,00,00,00,28,$021C,48,74,0,
OBJECT,1293,C74C,-,34,73,DF,0,0,4,7,1,1,1,00,00,00,29,$021D,46,74,0,
OBJECT,1293,C74C,-,34,73,DF,0,0,4,7,1,1,1,00,00,00,30,$021E,09,74,0,
FRAME,1293,C74C,-,34,73,DF,0,0,4,7,1,1,1,00,00,00,,,,,74,0,
RNG,1294,C535,-,34,73,DF,0,0,4,7,1,1,1,00,00,00,C535,,,74,0,
FRAME,1294,C74C,-,36,76,E0,0,2,6,7,1,1,1,00,00,00,,,,,74,0,
RNG,1295,C535,-,36,76,E0,0,2,6,7,1,1,1,00,00,00,C535,,,74,0,
FRAME,1295,C74C,-,06,C2,E1,0,2,6,4,1,1,1,00,00,00,,,,,74,0,
RNG,1296,C535,-,06,C2,E1,0,2,6,4,1,1,1,00,00,00,C535,,,74,0,
FRAME,1296,C74C,-,24,9A,E2,0,0,4,1,1,1,1,00,00,00,,,,,74,0,
RNG,1297,C535,-,24,9A,E2,0,0,4,1,1,1,1,00,00,00,C535,,,74,0,
C726,1297,C726,-,CD,2F,E3,1,1,5,2,1,1,1,00,00,00,C726,,,75,0,
C726,1297,C726,-,CD,2F,E3,1,1,5,2,1,1,1,00,00,00,C726,,,76,0,
C726,1297,C726,-,CD,2F,E3,1,1,5,2,1,1,1,00,00,00,C726,,,77,0,
C726,1297,C726,-,CD,2F,E3,1,1,5,2,1,1,1,00,00,00,C726,,,78,0,
OBJECT,1297,B08A,-,CD,2F,E3,1,1,5,2,1,1,1,00,00,00,31,$021F,26,78,0,
OBJECT,1297,B08A,-,CD,2F,E3,1,1,5,2,1,1,1,00,00,00,32,$0220,5E,78,0,
OBJECT,1297,B08A,-,CD,2F,E3,1,1,5,2,1,1,1,00,00,00,33,$0221,01,78,0,
